Fuel Type Code,Station Name,Street Address,City,ZIP,EV Connector Types,EV Pricing,Latitude,Longitude,Access Code,State
ELEC,One Parking,555 12th St NW,Washington,20004,J1772,Free,38.896703,-77.027621,public,DC
ELEC,Maritime Plaza,1201 M St SE,Washington,20003,J1772,$0.20 per kWh,38.87593,-76.989468,private,DC
ELEC,Chevy Chase Pavilion,5355 Wisconsin Ave NW,Washington,20015,J1772,Free,38.960472,-77.084739,public,DC
ELEC,JBG - Fort Totten Square,300 Riggs Rd NE,Washington,20011,J1772,Free,38.958255,-77.002273,public,DC
ELEC,Washington Plaza Hotel - Tesla Destination,10 Thomas Cir NW,Washington,20005,J1772 TESLA,Free,38.906456,-77.031163,public,DC
ELEC,Morrison-Clark Historic Inn & Restaurant - Tesla Destination,1011 L St NW,Washington,20001,J1772 TESLA,Free,38.9043681,-77.0267268,public,DC
ELEC,"The Donovan, a Kimpton Hotel - Tesla Destination",1155 14th St NW,Washington,20005,J1772 TESLA,Free,38.904958,-77.031772,public,DC
ELEC,Park Hyatt Washington - Tesla Destination,1201 24th St NW,Washington,20037,J1772 TESLA,Free,38.9058204,-77.0512085,public,DC
ELEC,Kimpton Rouge Hotel - Tesla Destination,1315 16th St NW,Washington,20036,J1772 TESLA,Free,38.908258,-77.036037,public,DC
ELEC,"Mandarin Oriental, Washington DC - Tesla Destination",1330 Maryland Ave SW,Washington,20024,TESLA,Free,38.883828,-77.030247,public,DC
ELEC,Kimpton Mason & Rook Hotel - Tesla Destination,1430 Rhode Island Ave,Washington,20005,J1772 TESLA,Free,38.908429,-77.033132,public,DC
ELEC,The Kimpton George Hotel - Tesla Destination,15 E St NW,Washington,20001,J1772 TESLA,Free,38.896373,-77.010017,public,DC
ELEC,Courtyard Washington Embassy Row - Tesla Destination,1600 Rhode Island Ave NW,Washington,20036,TESLA,Free,38.906641,-77.036861,public,DC
ELEC,Kimpton Carlyle Hotel - Tesla Destination,1731 New Hampshire Ave NW,Washington,20009,J1772 TESLA,Free,38.913322,-77.039525,public,DC
ELEC,One Parking 2000 K - Tesla Destination,2000 K St NW,Washington,20006,TESLA,Free,38.9020444,-77.0453237,public,DC
ELEC,Embassy Row Hotel - Tesla Destination,2015 Massachusetts Ave NW,Washington,20036,J1772 TESLA,Free,38.910623,-77.045745,public,DC
ELEC,Atlantic Plumbing Building Parking - Tesla Destination,2112 8th St NW,Washington,20001,TESLA,Free,38.918283,-77.023174,public,DC
ELEC,State Plaza Hotel - Tesla Destination,2117 E St NW,Washington,20037,J1772 TESLA,Free,38.8962171,-77.047623,public,DC
ELEC,Kimpton Hotel Palomar Washington DC - Tesla Destination,2121 P St NW,Washington,20037,J1772 TESLA,Free,38.909852,-77.047399,public,DC
ELEC,Avenue Suites Georgetown - Tesla Destination,2500 Pennsylvania Ave NW,Washington,20037,TESLA,Free,38.9033344,-77.0536137,public,DC
ELEC,Kimpton Glover Park Hotel - Tesla Destination,2505 Wisconsin Ave NW,Washington,20007,J1772 TESLA,Free,38.92336,-77.072855,public,DC
ELEC,The Watergate Hotel - Tesla Destination,2650 Virginia Ave NW,Washington,20037,TESLA,Free,38.8993596,-77.0557605,public,DC
ELEC,Four Seasons Washington D.C. - Tesla Destination,2800 Pennsylvania Ave NW,Washington,20007,TESLA,Free,38.904437,-77.057389,public,DC
ELEC,Hyatt Regency Washington on Capitol Hill - Tesla Destination,400 New Jersey Ave NW,Washington,20001,J1772 TESLA,Free,38.895083,-77.011283,public,DC
ELEC,The Liaison Capitol Hill - Tesla Destination,415 New Jersey Ave NW,Washington,20001,TESLA,Free,38.8954701,-77.0109949,public,DC
ELEC,Hilton Garden Inn Washington DC Downtown - Tesla Destination,815 14th St NW,Washington,20005,TESLA,Free,38.9007011,-77.0316487,public,DC
ELEC,Embassy Suites by Hilton Convention Center - Tesla Destination,900 10th St NW,Washington,20001,J1772 TESLA,Free,38.901937,-77.026251,public,DC
ELEC,Hampton Inn Washington-Downtown-Convention Center - Tesla Destination,901 6th St NW,Washington,20001,TESLA,Free,38.901964,-77.019837,public,DC
ELEC,Marriott Marquis Washington D.C. - Tesla Destination,901 Massachusetts Ave NW,Washington,20001,J1772 TESLA,Free,38.903543,-77.024973,public,DC
ELEC,The St. Regis Washington D.C. - Tesla Destination,923 16th St NW,Washington,20006,TESLA,Free,38.9021295,-77.0361522,public,DC
ELEC,901 K Street NW - Tesla Destination,901 K St NW,Washington,20036,TESLA,Free,38.903059,-77.025601,public,DC
ELEC,1255 23rd St NW - Tesla Destination,1255 23rd St NW,Washington,20037,J1772 TESLA,Free,38.9062733,-77.0498542,public,DC
ELEC,The Hub - Tesla Destination,1615 L St NW,Washington,20036,J1772 TESLA,Free,38.904273,-77.037481,public,DC
