ID,Fuel Type Code,Station Name,Street Address,State,City,Open Date,ZIP,EV Connector Types,EV Pricing,Latitude,Longitude,Access Code
1,ELEC,One Parking,555 12th St NW,DC,Washington,3/1/2012,20004,J1772,Free,38.896703,-77.027621,public
3,ELEC,Maritime Plaza,1201 M St SE,DC,Washington,12/1/2012,20003,J1772,$0.20 per kWh,38.87593,-76.989468,private
7,ELEC,Chevy Chase Pavilion,5355 Wisconsin Ave NW,DC,Washington,4/30/2013,20015,J1772,Free,38.960472,-77.084739,public
18,ELEC,JBG - Fort Totten Square,300 Riggs Rd NE,DC,Washington,1/16/2016,20011,J1772,Free,38.958255,-77.002273,public
28,ELEC,Washington Plaza Hotel - Tesla Destination,10 Thomas Cir NW,DC,Washington,12/7/2017,20005,J1772 TESLA,Free,38.906456,-77.031163,public
29,ELEC,Morrison-Clark Historic Inn & Restaurant - Tesla Destination,1011 L St NW,DC,Washington,8/31/2018,20001,J1772 TESLA,Free,38.9043681,-77.0267268,public
30,ELEC,"The Donovan, a Kimpton Hotel - Tesla Destination",1155 14th St NW,DC,Washington,11/19/2015,20005,J1772 TESLA,Free,38.904958,-77.031772,public
31,ELEC,Park Hyatt Washington - Tesla Destination,1201 24th St NW,DC,Washington,5/14/2018,20037,J1772 TESLA,Free,38.9058204,-77.0512085,public
32,ELEC,Kimpton Rouge Hotel - Tesla Destination,1315 16th St NW,DC,Washington,12/11/2015,20036,J1772 TESLA,Free,38.908258,-77.036037,public
33,ELEC,"Mandarin Oriental, Washington DC - Tesla Destination",1330 Maryland Ave SW,DC,Washington,1/27/2015,20024,TESLA,Free,38.883828,-77.030247,public
34,ELEC,Kimpton Mason & Rook Hotel - Tesla Destination,1430 Rhode Island Ave,DC,Washington,7/19/2016,20005,J1772 TESLA,Free,38.908429,-77.033132,public
35,ELEC,The Kimpton George Hotel - Tesla Destination,15 E St NW,DC,Washington,11/30/2015,20001,J1772 TESLA,Free,38.896373,-77.010017,public
36,ELEC,Courtyard Washington Embassy Row - Tesla Destination,1600 Rhode Island Ave NW,DC,Washington,1/25/2016,20036,TESLA,Free,38.906641,-77.036861,public
37,ELEC,Kimpton Carlyle Hotel - Tesla Destination,1731 New Hampshire Ave NW,DC,Washington,11/11/2015,20009,J1772 TESLA,Free,38.913322,-77.039525,public
38,ELEC,One Parking 2000 K - Tesla Destination,2000 K St NW,DC,Washington,6/12/2018,20006,TESLA,Free,38.9020444,-77.0453237,public
39,ELEC,Embassy Row Hotel - Tesla Destination,2015 Massachusetts Ave NW,DC,Washington,10/28/2015,20036,J1772 TESLA,Free,38.910623,-77.045745,public
40,ELEC,Atlantic Plumbing Building Parking - Tesla Destination,2112 8th St NW,DC,Washington,1/4/2017,20001,TESLA,Free,38.918283,-77.023174,public
41,ELEC,State Plaza Hotel - Tesla Destination,2117 E St NW,DC,Washington,10/3/2018,20037,J1772 TESLA,Free,38.8962171,-77.047623,public
42,ELEC,Kimpton Hotel Palomar Washington DC - Tesla Destination,2121 P St NW,DC,Washington,12/23/2015,20037,J1772 TESLA,Free,38.909852,-77.047399,public
43,ELEC,Avenue Suites Georgetown - Tesla Destination,2500 Pennsylvania Ave NW,DC,Washington,4/30/2018,20037,TESLA,Free,38.9033344,-77.0536137,public
44,ELEC,Kimpton Glover Park Hotel - Tesla Destination,2505 Wisconsin Ave NW,DC,Washington,7/19/2016,20007,J1772 TESLA,Free,38.92336,-77.072855,public
45,ELEC,The Watergate Hotel - Tesla Destination,2650 Virginia Ave NW,DC,Washington,1/22/2018,20037,TESLA,Free,38.8993596,-77.0557605,public
46,ELEC,Four Seasons Washington D.C. - Tesla Destination,2800 Pennsylvania Ave NW,DC,Washington,2/28/2018,20007,TESLA,Free,38.904437,-77.057389,public
47,ELEC,Hyatt Regency Washington on Capitol Hill - Tesla Destination,400 New Jersey Ave NW,DC,Washington,4/19/2016,20001,J1772 TESLA,Free,38.895083,-77.011283,public
48,ELEC,The Liaison Capitol Hill - Tesla Destination,415 New Jersey Ave NW,DC,Washington,4/13/2018,20001,TESLA,Free,38.8954701,-77.0109949,public
49,ELEC,Hilton Garden Inn Washington DC Downtown - Tesla Destination,815 14th St NW,DC,Washington,12/10/2015,20005,TESLA,Free,38.9007011,-77.0316487,public
50,ELEC,Embassy Suites by Hilton Convention Center - Tesla Destination,900 10th St NW,DC,Washington,3/23/2017,20001,J1772 TESLA,Free,38.901937,-77.026251,public
51,ELEC,Hampton Inn Washington-Downtown-Convention Center - Tesla Destination,901 6th St NW,DC,Washington,12/7/2015,20001,TESLA,Free,38.901964,-77.019837,public
52,ELEC,Marriott Marquis Washington D.C. - Tesla Destination,901 Massachusetts Ave NW,DC,Washington,12/7/2015,20001,J1772 TESLA,Free,38.903543,-77.024973,public
53,ELEC,The St. Regis Washington D.C. - Tesla Destination,923 16th St NW,DC,Washington,10/6/2015,20006,TESLA,Free,38.9021295,-77.0361522,public
61,ELEC,901 K Street NW - Tesla Destination,901 K St NW,DC,Washington,4/4/2019,20036,TESLA,Free,38.903059,-77.025601,public
62,ELEC,1255 23rd St NW - Tesla Destination,1255 23rd St NW,DC,Washington,4/5/2019,20037,J1772 TESLA,Free,38.9062733,-77.0498542,public
63,ELEC,The Hub - Tesla Destination,1615 L St NW,DC,Washington,4/25/2019,20036,J1772 TESLA,Free,38.904273,-77.037481,public
64,ELEC,Foxhall East Inc.,"4200 Massachusetts Ave, NW",DC,Washington,9/20/2017,20016,J1772,$1.00-$2.00/Hr Variable Parking Fee,38.9348171,-77.0828442,public
65,ELEC,Lenkin Co 2201,2201 Wisconsin Ave NW,DC,Washington,10/19/2011,20007,J1772,$1.00/Hr Parking Fee,38.9192265,-77.0706446,public
66,ELEC,The Louis,1920 14th Street NW,DC,Washington,2/16/2015,20009,J1772,FREE,38.9163243,-77.0323174,public
67,ELEC,Rhode Island Row,"2350 Washington Place, NE.",DC,Washington,10/25/2011,20018,J1772,FREE,38.9215664,-76.993693,public
