ID,Station Name,Access,Owner,Last_Used,Open_Date,DC_Fast,Level1_Charging,Level2_Charging,Address,City,State,Zipcode,Latitude,Longitude,Pricing,Connection_Type
100283,ECHELON AT ODEN NOVUS ODENTON,public,ChargePoint Network,2024-10-10,2018-08-09,,,2.0,313 Nevada Ave,Odenton,MD,21113,39.092476,-76.709341,,J1772
100325,Laureate Education Inc,public,Non-Networked,2022-11-10,2018-08-08,,,4.0,7065 Samuel Morse Dr,Columbia,MD,21046,39.168759,-76.811733,Free,J1772
100326,Mercy Medical Center - Bunting Garage,public,Non-Networked,2022-11-10,2018-08-08,,,4.0,301 Saint Paul Pl,Baltimore,MD,21202,39.29255,-76.61355,Free,J1772
100466,GARAGE C #1 GARAGE A LVL 1C,public,ChargePoint Network,2024-10-10,2018-08-22,,,2.0,5 Airport Parking Dep Rd,Norfolk,VA,23518,36.899599,-76.206422,,J1772
100468,GARAGE C #1 GARAGE A LVL 1B,public,ChargePoint Network,2024-10-10,2018-08-22,,,2.0,31 Airport Parking Dep Rd,Norfolk,VA,23518,36.899734,-76.206656,,J1772
100480,Inter Sign National,private,Non-Networked,2023-10-12,2018-07-18,,,1.0,1123 E Baltimore St,Baltimore,MD,21201,39.290886,-76.600847,,J1772
102207,Maryland House Travel Plaza - Tesla Supercharger,public,Tesla,2024-07-01,2018-07-23,8.0,,,I-95,Aberdeen,MD,21001,39.497944,-76.230931,,TESLA
102208,Rio Washingtonian Center - Tesla Supercharger,public,Tesla,2024-07-01,2018-07-23,12.0,,,9811 Washingtonian Blvd.,Gaithersburg,MD,20878,39.118193,-77.20231,,TESLA
102209,Royal Farms - Tesla Supercharger,public,Tesla,2024-07-01,2018-07-23,12.0,,,108 Jackson Creek Road,Grasonville,MD,21638,38.965729,-76.220938,,TESLA
102210,Hagerstown Premium Outlets - Tesla Supercharger,public,Tesla,2024-07-01,2014-01-01,6.0,,,495 Premium Outlets Blvd,Hagerstown,MD,21740,39.605859,-77.733324,,TESLA
102211,Sheetz - Tesla Supercharger,public,Tesla,2024-07-01,2018-07-23,8.0,,,11601 Winchester Road,La Vale,MD,21502,39.636287,-78.845731,,TESLA
102212,Towne Center at Laurel - Tesla Supercharger,public,Tesla,2024-07-01,2016-10-01,8.0,,,14700 Baltimore Ave,Laurel,MD,20707,39.095382,-76.858319,,TESLA
102214,Chesapeake House Travel Plaza - Tesla Supercharger,public,Tesla,2024-07-01,2018-07-23,10.0,,,John F Kennedy Memorial Hwy,North East,MD,21901,39.61224,-76.00878,,TESLA
102215,The Centre at Salisbury - Tesla Supercharger,public,Tesla,2024-07-01,2015-01-01,6.0,,,2300 North Salisbury Blvd.,Salisbury,MD,21801,38.4016,-75.56489,,TESLA
102467,The Shops at Stonefield - Tesla Supercharger,public,Tesla,2024-07-01,2018-07-23,8.0,,,2100 Hydraulic Road,Charlottesville,VA,22901,38.067294,-78.493075,,TESLA
102468,Wawa - Tesla Supercharger,public,Tesla,2024-07-01,2017-09-26,8.0,,,11701 Jefferson Davis Highway,Chester,VA,23831,37.367264,-77.416961,,TESLA
102469,Wawa - Tesla Supercharger,public,Tesla,2024-07-01,2018-07-23,8.0,,,10060 Jefferson Davis Highway,Fredericksburg,VA,22407,38.225925,-77.506129,,TESLA
102470,Creeks at Virginia Center - Tesla Supercharger,public,Tesla,2024-07-01,2013-10-24,20.0,,,9950 Brook Rd,Glen Allen,VA,23059,37.66976,-77.461414,,TESLA
102471,Holiday Inn Express Lexington - Tesla Supercharger,public,Tesla,2024-07-01,2015-12-01,6.0,,,880 N Lee Hwy,Lexington,VA,24450,37.796979,-79.419007,,TESLA
102472,Sheetz - Tesla Supercharger,public,Tesla,2024-07-01,2017-12-19,8.0,,,227 Conicville Rd,Mt. Jackson,VA,22842,38.760227,-78.63121,,TESLA
102473,JANAF Shopping Yard - Tesla Supercharger,public,Tesla,2024-07-01,2015-12-01,6.0,,,5900 E Virginia Beach Blvd,Norfolk,VA,23502,36.860525,-76.207467,,TESLA
102474,White Oak Village - Tesla Supercharger,public,Tesla,2024-07-01,2017-12-21,18.0,,,4441 S Laburnum Ave,Richmond,VA,23231,37.52979,-77.353906,,TESLA
102475,Kahill's Restaurant - Tesla Supercharger,public,Tesla,2024-07-01,2014-08-01,6.0,,,1791 North Mecklenburg Avenue,South Hill,VA,23950,36.748516,-78.103517,,TESLA
102476,Springfield Town Center - Tesla Supercharger,public,Tesla,2024-07-01,2018-07-23,20.0,,,6500 Springfield Mall,Springfield,VA,22150,38.77633,-77.17595,,TESLA
102477,Strasburg Denny's - Tesla Supercharger,public,Tesla,2024-07-01,2015-07-01,6.0,,,119 Hite Lane,Strasburg,VA,22657,39.00496,-78.337848,,TESLA
102478,Potomac Mills - Tesla Supercharger,public,Tesla,2024-07-01,2014-05-01,10.0,,,2700 Potomac Mills Circle,Woodbridge,VA,22192,38.64082,-77.29633,,TESLA
102479,Holiday Inn Express & Suites Wytheville - Tesla Supercharger,public,Tesla,2024-07-01,2015-12-01,6.0,,,165 Malin Drive,Wytheville,VA,24382,36.945693,-81.054651,,TESLA
102534,TOWER COMPANIES 1909K STATION 2,public,ChargePoint Network,2024-10-10,2018-08-31,,,2.0,1909 K St NWUS-29,Washington,DC,20006,38.903043,-77.044211,,J1772
102553,MGM RESORTS INT NAT HARBOR L3S1,public,ChargePoint Network,2024-10-10,2018-09-01,,,2.0,101 MGM National Ave,Oxon Hill,MD,20745,38.795013,-77.009316,,J1772
