Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources,EV Total Port Count (Beta),EV CHAdeMO Port Count (Beta),EV J1772 Port Count (Beta),EV CCS Port Count (Beta),EV NEMA 14-50 Port Count (Beta),EV NEMA 515 Port Count (Beta),EV NEMA 520 Port Count (Beta),EV Tesla Port Count (Beta),EV CCS 150+ kW Port Count (Beta)
ELEC,One Parking,555 12th St NW,Level P3,Washington,DC,20004,,202-393-0649,E,,Public,Restricted to garage hours; pay lot; leave key,,,,,,13,,,Non-Networked,,200-9,38.896703,-77.027621,2023-08-10,43836,2024-01-31 22:07:01 UTC,P,,,2012-03-01,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,,13,0,13,0,0,0,0,0,0
ELEC,Florida Power & Light - Washington DC Office,801 Pennsylvania Ave NW,Suite 220,Washington,DC,20004,,,E,,Private,,,,,,,1,,,Non-Networked,,200-9,38.894354,-77.023723,2024-01-09,48074,2024-01-31 22:07:01 UTC,T,,,2012-01-01,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,false,,1,0,1,0,0,0,0,0,0
ELEC,Maritime Plaza,1201 M St SE,,Washington,DC,20003,,,E,,Private,Tenant and guest use only,,,,,,2,,,Non-Networked,,200-9,38.87593,-76.989468,2023-08-10,51735,2024-01-31 22:07:01 UTC,P,,,2012-12-01,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,$0.20 per kWh,,,,,,,,,,,,,,,,,,LD,false,,2,0,2,0,0,0,0,0,0
ELEC,WASH HARBOUR STATION 1,3000 K St NW,Bottom of ramp,Washington,DC,20007,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.90178,-77.059732,2024-10-08,57221,2024-10-08 00:55:27 UTC,,,,2011-12-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,National Capital Parks,,,,false,,2,0,2,0,0,0,0,0,0
ELEC,TOWER COMPANIES 1828 L ST NW #1,1828 L St NW,Closed on the weekend,Washington,DC,20036,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.903466,-77.042898,2024-10-08,64548,2024-10-08 00:56:11 UTC,,,,2014-12-09,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,2,0,2,0,0,0,0,0,0
ELEC,TOWER COMPANIES 1707 L STREET 1,1707 L St NW,Paid parking garage,Washington,DC,20036,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.903979,-77.039104,2024-10-08,64549,2024-10-08 00:49:54 UTC,,,,2014-12-09,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,2,0,2,0,0,0,0,0,0
ELEC,Chevy Chase Pavilion,5355 Wisconsin Ave NW,Entrance on Wisconsin Circle,Washington,DC,20015,,202-686-5335,E,,Public,Restricted to garage hours; pay lot,,,,,,2,,,Non-Networked,,GPS,38.960472,-77.084739,2023-08-10,65672,2024-01-31 22:07:01 UTC,P,,,2013-04-30,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,,2,0,2,0,0,0,0,0,0
ELEC,1212 NEW YORK STATION 1,1212 New York Ave NW,The station is located on the 1st level of a parking garage. It is on the right side as you enter the garage.,Washington,DC,20005,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.900028,-77.028757,2024-10-08,68205,2024-10-08 00:36:18 UTC,,,,2015-07-10,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,2,0,2,0,0,0,0,0,0
ELEC,"CHECK RATES 550 C STREET,SW",550 C St SW,Garage entrance to the right of Holiday Inn Capitol off of 6th Street,Washington,DC,20024,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.885599,-77.019678,2024-10-08,70598,2024-10-08 00:37:27 UTC,,,,2015-10-21,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,2,0,2,0,0,0,0,0,0
ELEC,JBG SMITH 1717K,1717 K St NW,B1 Level Parking Garage,Washington,DC,20006,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.902774,-77.040063,2024-10-08,76344,2024-10-08 00:36:14 UTC,,,,2016-06-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,2,0,2,0,0,0,0,0,0
