Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources,EV Total Port Count (Beta),EV CHAdeMO Port Count (Beta),EV J1772 Port Count (Beta),EV CCS Port Count (Beta),EV NEMA 14-50 Port Count (Beta),EV NEMA 515 Port Count (Beta),EV NEMA 520 Port Count (Beta),EV Tesla Port Count (Beta),EV CCS 150+ kW Port Count (Beta)
ELEC,Hotel Floyd,120 Wilson St,,Floyd,VA,24091,,540-745-6080,E,,Public,8am-10pm daily; guest use only,,,,,,1,,,Non-Networked,,200-9,36.910575,-80.31736,2022-11-10,39514,2024-10-03 17:43:17 UTC,P,,,2011-06-01,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free for guests; $10 for non-guests,,,,,,,,,,true,,,,,,,,LD,false,,1,0,1,0,0,0,0,0,0
ELEC,Passport Nissan - Alexandria,150 S Pickett St,,Alexandria,VA,22304,,703-823-9000,E,,Public - Call ahead,Dealership business hours,,,,,,3,1,,Non-Networked,,200-8,38.80967,-77.12219,2024-02-12,39763,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,,4,1,3,1,0,0,0,0,0
ELEC,Priority Nissan - Chantilly,14840 Stonecroft Center Ct,,Chantilly,VA,20151,,703-889-3700,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-8,38.8998,-77.46033,2024-02-12,39764,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,,3,1,2,0,0,0,0,0,0
ELEC,Colonial Nissan,200 Myers Dr,,Charlottesville,VA,22901,,434-978-3711,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,GPS,38.084925987503,-78.47341454498292,2024-02-12,39765,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,,3,1,2,0,0,0,0,0,0
ELEC,Brown's Fairfax Nissan,11010 Fairfax Blvd,,Fairfax,VA,22030,,703-591-8009,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,38.85366,-77.32474,2024-02-12,39766,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,,2,1,1,1,0,0,0,0,0
ELEC,Pomoco Nissan - Hampton,1134 W Mercury Blvd,,Hampton,VA,23666,,757-838-6111,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-8,37.04249,-76.38833,2024-02-12,39768,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,,3,1,2,0,0,0,0,0,0
ELEC,Sheehy Nissan - Manassas,9010 Liberia Ave,,Manassas,VA,20110,,703-361-5161,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-9,38.760854,-77.459274,2024-02-12,39769,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,,3,1,2,1,0,0,0,0,0
ELEC,Shell - YESS! Convenience 4U,328 Rives Rd,I-95 exit 47,Petersburg,VA,23805,,804-733-8848,E,,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,4,,,,Non-Networked,,200-9,37.175139,-77.352948,2023-01-10,39770,2023-02-14 15:54:11 UTC,P,,,2011-04-15,,,,,NEMA520,US,,,,Public,,public,,,GAS_STATION,,,,,,,$5 per hour,,,,,,,,,,false,,,,,,,,LD,false,,4,0,0,0,0,0,4,0,0
ELEC,First Team Nissan,6520 Peters Creek Rd,,Roanoke,VA,24019,,540-362-4800,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,37.34598,-79.9627,2024-02-12,39772,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,,2,1,1,0,0,0,0,0,0
ELEC,Brown's Dulles Nissan,45155 Towlern Pl,,Sterling,VA,20166,,703-948-1100,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,39.010459,-77.438399,2024-02-12,39773,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,,2,1,1,1,0,0,0,0,0
ELEC,Priority Nissan,8525 Leesburg Pike,,Vienna,VA,22182,,703-442-8700,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-8,38.92684,-77.24096,2024-02-12,39774,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,,3,1,2,0,0,0,0,0,0
ELEC,Tri-State Nissan,1230 Millwood Pike,,Winchester,VA,22602,,,E,,Public - Call ahead,Dealership business hours; contact 540-667-6800 for more information,,,,,,3,1,,Non-Networked,,GPS,39.156514,-78.147297,2024-02-12,39775,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,,4,1,3,1,0,0,0,0,0
ELEC,James River Air Conditioning,1905 Westmoreland St,At Broad St,Richmond,VA,23230,,804-358-9333,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,37.578536,-77.48754,2022-01-10,40255,2024-09-16 20:17:03 UTC,P,,,2011-06-20,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,,1,0,1,0,0,0,0,0,0
ELEC,New River Nissan,2130 N Franklin St,,Christiansburg,VA,24073,,540-382-2903,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,37.158,-80.4204,2024-02-12,40380,2024-02-12 15:25:05 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,,1,0,1,0,0,0,0,0,0
ELEC,Hyman Brothers Nissan,11841 Midlothian Turnpike,,Midlothian,VA,23113,,804-378-3000,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-8,37.5036,-77.61842,2024-02-12,40382,2024-02-12 15:25:05 UTC,P,,,2011-05-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,,3,1,2,0,0,0,0,0,0
ELEC,Stone's Cove Kitbar,2403 Centreville Rd,,Herndon,VA,20171,,703-434-3615,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,38.951695,-77.409238,2023-11-09,40565,2024-01-31 22:07:01 UTC,P,,,2011-07-15,,,,,J1772,US,,,,Public,,public,,,RESTAURANT,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,,1,0,1,0,0,0,0,0,0
