Fuel_Station_Id,Connector_Type_Code
0,J1772
1,J1772
2,J1772
3,J1772
4,J1772
5,CHADEMO
5,J1772
5,J1772COMBO
6,TESLA
7,J1772
8,J1772
8,TESLA
9,J1772
10,J1772
11,TESLA
12,J1772
13,J1772
14,J1772
15,J1772
15,TESLA
16,TESLA
17,J1772
17,TESLA
18,J1772
18,TESLA
19,CHADEMO
19,J1772COMBO
20,J1772
21,CHADEMO
21,J1772COMBO
22,J1772
23,CHADEMO
23,J1772COMBO
24,J1772
25,J1772
26,CHADEMO
26,J1772COMBO
27,CHADEMO
27,J1772COMBO
28,CHADEMO
28,J1772COMBO
29,CHADEMO
29,J1772COMBO
30,CHADEMO
30,J1772COMBO
31,J1772
32,J1772
33,J1772
34,CHADEMO
34,J1772COMBO
35,TESLA
36,TESLA
37,TESLA
38,TESLA
39,TESLA
40,TESLA
41,TESLA
42,TESLA
43,CHADEMO
43,J1772COMBO
44,CHADEMO
44,J1772COMBO
45,TESLA
46,TESLA
47,TESLA
48,TESLA
49,TESLA
50,TESLA
51,TESLA
52,TESLA
53,TESLA
54,TESLA
55,TESLA
56,TESLA
57,TESLA
58,CHADEMO
58,J1772
58,J1772COMBO
59,J1772
60,J1772
61,CHADEMO
61,J1772
61,J1772COMBO
62,J1772
63,CHADEMO
63,J1772
63,J1772COMBO
64,J1772
65,J1772
66,J1772
67,J1772
68,J1772
69,J1772
70,CHADEMO
70,J1772
70,J1772COMBO
71,J1772
72,CHADEMO
72,J1772
72,J1772COMBO
73,J1772
74,J1772
75,TESLA
76,J1772
77,J1772
78,J1772
79,J1772
80,J1772
81,J1772
82,J1772
83,J1772
84,J1772
85,J1772
86,J1772
87,J1772
88,J1772
89,J1772
90,J1772
91,CHADEMO
92,J1772
93,J1772
94,J1772
95,J1772
96,J1772
97,J1772
98,J1772
99,J1772
100,J1772
101,CHADEMO
101,J1772COMBO
102,J1772
103,J1772
104,J1772
105,J1772
106,J1772
107,J1772
108,J1772
109,J1772
110,J1772
111,J1772
112,J1772
113,J1772
114,J1772
115,J1772
116,J1772
117,J1772
118,J1772
119,J1772
120,J1772
121,CHADEMO
122,J1772
123,J1772
124,J1772
125,J1772
126,J1772
127,J1772
128,J1772
129,J1772
130,J1772
131,J1772
132,J1772COMBO
133,J1772
134,J1772
135,J1772
136,J1772
137,J1772
138,TESLA
139,J1772
140,J1772
141,CHADEMO
141,J1772COMBO
142,CHADEMO
142,J1772COMBO
143,J1772
144,J1772
145,J1772
146,J1772
147,J1772
148,J1772
149,J1772
150,J1772
151,J1772
152,J1772
153,J1772
154,J1772
155,J1772
156,J1772
157,J1772
158,J1772
159,J1772
160,J1772
161,J1772
162,J1772
163,J1772
164,J1772
165,J1772
166,CHADEMO
166,J1772COMBO
167,J1772
168,CHADEMO
168,J1772COMBO
169,CHADEMO
169,J1772COMBO
170,J1772
171,J1772
172,J1772
173,J1772
174,J1772
175,J1772
176,CHADEMO
176,J1772COMBO
177,CHADEMO
177,J1772COMBO
178,CHADEMO
178,J1772COMBO
179,CHADEMO
179,J1772COMBO
180,J1772
181,J1772
182,J1772
183,J1772
184,J1772
185,J1772
186,J1772
187,CHADEMO
187,J1772COMBO
188,J1772
189,J1772
190,J1772
191,J1772
192,J1772
193,J1772
194,J1772
194,J1772COMBO
195,J1772
196,J1772
197,J1772
198,J1772
199,J1772
200,J1772
201,J1772
202,J1772
203,J1772
