Fuel Type Code,Station Name,Street Address,Date Last Confirmed,Groups With Access Code,State,City,Open Date,ZIP,EV Connector Types,EV Pricing,Latitude,Longitude,Access Code,ID
ELEC,One Parking,555 12th St NW,2023-08-10,Public,DC,Washington,2012-03-01,20004,J1772,Free,38.896703,-77.027621,public,1
ELEC,Maritime Plaza,1201 M St SE,2023-08-10,Private,DC,Washington,2012-12-01,20003,J1772,$0.20 per kWh,38.87593,-76.989468,private,3
ELEC,Chevy Chase Pavilion,5355 Wisconsin Ave NW,2023-08-10,Public,DC,Washington,2013-04-30,20015,J1772,Free,38.960472,-77.084739,public,7
ELEC,JBG - Fort Totten Square,300 Riggs Rd NE,2024-10-08,Public,DC,Washington,2016-01-16,20011,J1772,Free,38.958255,-77.002273,public,18
ELEC,Washington Plaza Hotel - Tesla Destination,10 Thomas Cir NW,2022-10-06,Public,DC,Washington,2017-12-07,20005,J1772 TESLA,Free,38.906456,-77.031163,public,28
ELEC,Morrison-Clark Historic Inn & Restaurant - Tesla Destination,1011 L St NW,2022-10-06,Public,DC,Washington,2018-08-31,20001,J1772 TESLA,Free,38.9043681,-77.0267268,public,29
ELEC,"The Donovan, a Kimpton Hotel - Tesla Destination",1155 14th St NW,2022-10-06,Public,DC,Washington,2015-11-19,20005,J1772 TESLA,Free,38.904958,-77.031772,public,30
ELEC,Park Hyatt Washington - Tesla Destination,1201 24th St NW,2022-10-06,Public,DC,Washington,2018-05-14,20037,J1772 TESLA,Free,38.9058204,-77.0512085,public,31
ELEC,Kimpton Rouge Hotel - Tesla Destination,1315 16th St NW,2022-10-06,Public,DC,Washington,2015-12-11,20036,J1772 TESLA,Free,38.908258,-77.036037,public,32
ELEC,"Mandarin Oriental, Washington DC - Tesla Destination",1330 Maryland Ave SW,2022-10-06,Public,DC,Washington,2015-01-27,20024,TESLA,Free,38.883828,-77.030247,public,33
ELEC,Kimpton Mason & Rook Hotel - Tesla Destination,1430 Rhode Island Ave,2022-10-06,Public,DC,Washington,2016-07-19,20005,J1772 TESLA,Free,38.908429,-77.033132,public,34
ELEC,The Kimpton George Hotel - Tesla Destination,15 E St NW,2022-10-06,Public,DC,Washington,2015-11-30,20001,J1772 TESLA,Free,38.896373,-77.010017,public,35
ELEC,Courtyard Washington Embassy Row - Tesla Destination,1600 Rhode Island Ave NW,2022-10-06,Public,DC,Washington,2016-01-25,20036,TESLA,Free,38.906641,-77.036861,public,36
ELEC,Kimpton Carlyle Hotel - Tesla Destination,1731 New Hampshire Ave NW,2022-10-06,Public,DC,Washington,2015-11-11,20009,J1772 TESLA,Free,38.913322,-77.039525,public,37
ELEC,One Parking 2000 K - Tesla Destination,2000 K St NW,2022-10-06,Public,DC,Washington,2018-06-12,20006,TESLA,Free,38.9020444,-77.0453237,public,38
ELEC,Embassy Row Hotel - Tesla Destination,2015 Massachusetts Ave NW,2022-10-06,Public,DC,Washington,2015-10-28,20036,J1772 TESLA,Free,38.910623,-77.045745,public,39
ELEC,Atlantic Plumbing Building Parking - Tesla Destination,2112 8th St NW,2022-10-06,Public,DC,Washington,2017-01-04,20001,TESLA,Free,38.918283,-77.023174,public,40
ELEC,State Plaza Hotel - Tesla Destination,2117 E St NW,2022-10-06,Public,DC,Washington,2018-10-03,20037,J1772 TESLA,Free,38.8962171,-77.047623,public,41
ELEC,Kimpton Hotel Palomar Washington DC - Tesla Destination,2121 P St NW,2022-10-06,Public,DC,Washington,2015-12-23,20037,J1772 TESLA,Free,38.909852,-77.047399,public,42
ELEC,Avenue Suites Georgetown - Tesla Destination,2500 Pennsylvania Ave NW,2022-10-06,Public,DC,Washington,2018-04-30,20037,TESLA,Free,38.9033344,-77.0536137,public,43
ELEC,Kimpton Glover Park Hotel - Tesla Destination,2505 Wisconsin Ave NW,2022-10-06,Public,DC,Washington,2016-07-19,20007,J1772 TESLA,Free,38.92336,-77.072855,public,44
ELEC,The Watergate Hotel - Tesla Destination,2650 Virginia Ave NW,2022-10-06,Public,DC,Washington,2018-01-22,20037,TESLA,Free,38.8993596,-77.0557605,public,45
ELEC,Four Seasons Washington D.C. - Tesla Destination,2800 Pennsylvania Ave NW,2022-10-06,Public,DC,Washington,2018-02-28,20007,TESLA,Free,38.904437,-77.057389,public,46
ELEC,Hyatt Regency Washington on Capitol Hill - Tesla Destination,400 New Jersey Ave NW,2022-10-06,Public,DC,Washington,2016-04-19,20001,J1772 TESLA,Free,38.895083,-77.011283,public,47
ELEC,The Liaison Capitol Hill - Tesla Destination,415 New Jersey Ave NW,2022-10-06,Public,DC,Washington,2018-04-13,20001,TESLA,Free,38.8954701,-77.0109949,public,48
ELEC,Hilton Garden Inn Washington DC Downtown - Tesla Destination,815 14th St NW,2022-10-06,Public,DC,Washington,2015-12-10,20005,TESLA,Free,38.9007011,-77.0316487,public,49
ELEC,Embassy Suites by Hilton Convention Center - Tesla Destination,900 10th St NW,2022-10-06,Public,DC,Washington,2017-03-23,20001,J1772 TESLA,Free,38.901937,-77.026251,public,50
ELEC,Hampton Inn Washington-Downtown-Convention Center - Tesla Destination,901 6th St NW,2022-10-06,Public,DC,Washington,2015-12-07,20001,TESLA,Free,38.901964,-77.019837,public,51
ELEC,Marriott Marquis Washington D.C. - Tesla Destination,901 Massachusetts Ave NW,2022-10-06,Public,DC,Washington,2015-12-07,20001,J1772 TESLA,Free,38.903543,-77.024973,public,52
ELEC,The St. Regis Washington D.C. - Tesla Destination,923 16th St NW,2022-10-06,Public,DC,Washington,2015-10-06,20006,TESLA,Free,38.9021295,-77.0361522,public,53
ELEC,901 K Street NW - Tesla Destination,901 K St NW,2022-10-06,Public,DC,Washington,2019-04-04,20036,TESLA,Free,38.903059,-77.025601,public,61
ELEC,1255 23rd St NW - Tesla Destination,1255 23rd St NW,2022-10-06,Public,DC,Washington,2019-04-05,20037,J1772 TESLA,Free,38.9062733,-77.0498542,public,62
ELEC,The Hub - Tesla Destination,1615 L St NW,2022-10-06,Public,DC,Washington,2019-04-25,20036,J1772 TESLA,Free,38.904273,-77.037481,public,63
ELEC,Foxhall East Inc.,"4200 Massachusetts Ave, NW",2024-10-08,Public,DC,Washington,2017-09-20,20016,J1772,$1.00-$2.00/Hr Variable Parking Fee,38.9348171,-77.0828442,public,64
ELEC,Lenkin Co 2201,2201 Wisconsin Ave NW,2024-10-08,Public,DC,Washington,2011-10-19,20007,J1772,$1.00/Hr Parking Fee,38.9192265,-77.0706446,public,65
ELEC,The Louis,1920 14th Street NW,2024-10-08,TEMPORARILY UNAVAILABLE (Public),DC,Washington,2015-02-16,20009,J1772,FREE,38.9163243,-77.0323174,public,66
ELEC,Rhode Island Row,"2350 Washington Place, NE.",2024-10-08,TEMPORARILY UNAVAILABLE (Public),DC,Washington,2011-10-25,20018,J1772,FREE,38.9215664,-76.993693,public,67
ELEC,531707 Lenkin Co 1625,1625 Massachusetts Avenue Northwest,2024-10-08,Public,DC,Washington,2018-09-10,20036,J1772,$1.00/Hr Parking Fee,38.9081864,-77.0380059,public,68
ELEC,1250 Connecticut,"1250 Connecticut Avenue, NW",2024-10-08,Public,DC,Washington,2015-02-16,20036,J1772,$0.00-$10.00/Hr Variable Parking Fee,38.9068836,-77.0423311,public,69
ELEC,531713  The Jefferson Building,1225 19th Street Northwest,2024-10-08,Public,DC,Washington,2019-02-06,20036,J1772,$0.15/kWh Energy Fee,38.9066664,-77.0430436,public,70
ELEC,Hines - 1200 Nineteenth Street NW,1200 19th Street NW Suite 260,2024-10-08,Public,DC,Washington,2016-12-21,20036,J1772,$1.00/Hr Parking Fee,38.9060995,-77.0438477,public,71
ELEC,Holiday Inn Washington DC-Central/White House,1501 Rhode Island Avenue NW,2024-10-08,Public,DC,Washington,2012-08-29,20005,J1772,$2.00/Hr Parking Fee,38.9079994,-77.0347353,public,72
ELEC,1200 17th Street NW,"1200 17th Street, NW",2024-10-08,Public,DC,Washington,2014-11-05,20036,J1772,FREE,38.9057498,-77.0387055,public,73
