ID,Station Name,Access,Owner,Last_Used,DC_Fast,Level1_Charging,Level2_Charging,Address,City,State,Zipcode
36363,ARUNDEL MILLS ELEMENT HOTELS,public,ChargePoint Network,2024-10-10,,1.0,,7522 Teague Rd,Hanover,MD,21076
39514,Hotel Floyd,public,Non-Networked,2022-11-10,,,1.0,120 Wilson St,Floyd,VA,24091
39763,Passport Nissan - Alexandria,public,Non-Networked,2024-02-12,1.0,,3.0,150 S Pickett St,Alexandria,VA,22304
39764,Priority Nissan - Chantilly,public,Non-Networked,2024-02-12,1.0,,2.0,14840 Stonecroft Center Ct,Chantilly,VA,20151
39765,Colonial Nissan,public,Non-Networked,2024-02-12,1.0,,2.0,200 Myers Dr,Charlottesville,VA,22901
39766,Brown's Fairfax Nissan,public,Non-Networked,2024-02-12,1.0,,1.0,11010 Fairfax Blvd,Fairfax,VA,22030
39768,Pomoco Nissan - Hampton,public,Non-Networked,2024-02-12,1.0,,2.0,1134 W Mercury Blvd,Hampton,VA,23666
39769,Sheehy Nissan - Manassas,public,Non-Networked,2024-02-12,1.0,,2.0,9010 Liberia Ave,Manassas,VA,20110
39770,Shell - YESS! Convenience 4U,public,Non-Networked,2023-01-10,,4.0,,328 Rives Rd,Petersburg,VA,23805
39772,First Team Nissan,public,Non-Networked,2024-02-12,1.0,,1.0,6520 Peters Creek Rd,Roanoke,VA,24019
39773,Brown's Dulles Nissan,public,Non-Networked,2024-02-12,1.0,,1.0,45155 Towlern Pl,Sterling,VA,20166
39774,Priority Nissan,public,Non-Networked,2024-02-12,1.0,,2.0,8525 Leesburg Pike,Vienna,VA,22182
39775,Tri-State Nissan,public,Non-Networked,2024-02-12,1.0,,3.0,1230 Millwood Pike,Winchester,VA,22602
40012,Municipal Garage,public,Non-Networked,2022-11-10,,1.0,2.0,200 N Holliday St,Baltimore,MD,21202
40018,Bel Air Nissan,public,Non-Networked,2024-02-12,1.0,,2.0,1506 Bel Air Rd,Bel Air,MD,21014
40020,Community College of Baltimore County (CCBC),public,Non-Networked,2024-09-12,,,2.0,800 S Rolling Rd,Catonsville,MD,21228
40025,Younger Nissan,public,Non-Networked,2024-02-12,1.0,,1.0,7418 Grove Rd,Frederick,MD,21704
40026,Criswell Nissan,public,Non-Networked,2024-02-12,,,1.0,19574 Amaranth Dr,Germantown,MD,20874
40029,Passport Nissan - Marlow Heights,public,Non-Networked,2024-02-12,1.0,,1.0,5000 Auth Way,Suitland,MD,20746
40030,Darcars Nissan,public,Non-Networked,2024-02-12,1.0,,1.0,15911 Indianola Dr,Rockville,MD,20855
40033,Herb Gordon Nissan,public,Non-Networked,2024-02-12,1.0,,1.0,3131 Automobile Blvd,Silver Spring,MD,20904
40255,James River Air Conditioning,public,Non-Networked,2022-01-10,,,1.0,1905 Westmoreland St,Richmond,VA,23230
40380,New River Nissan,public,Non-Networked,2024-02-12,,,1.0,2130 N Franklin St,Christiansburg,VA,24073
40382,Hyman Brothers Nissan,public,Non-Networked,2024-02-12,1.0,,2.0,11841 Midlothian Turnpike,Midlothian,VA,23113
40565,Stone's Cove Kitbar,public,Non-Networked,2023-11-09,,,1.0,2403 Centreville Rd,Herndon,VA,20171
40689,Annapolis Friends Meeting,public,Non-Networked,2021-09-10,,4.0,2.0,351 Dubois Ave,Annapolis,MD,21401
40701,Richmond Ford Lincoln,public,Non-Networked,2023-11-09,,,3.0,4600 W Broad St,Richmond,VA,23230
41006,CHARLES COUNTY INDIAN HEAD1,public,ChargePoint Network,2024-10-10,,,2.0,3225 Ruth B Swann Dr,Indian Head,MD,20640
41007,CHARLES COUNTY CRAIN CENTER1,public,ChargePoint Network,2024-10-10,,,2.0,12480 Crain Hwy,Newburg,MD,20664
41108,Randolph-Macon College - Andrews Hall,public,Non-Networked,2023-12-13,,,1.0,420 Henry St,Ashland,VA,23005
41230,Smithsonian Environmental Research Center (SERC),private,Non-Networked,2024-01-10,,,2.0,647 Contees Wharf Rd,Edgewater,MD,21037
41395,Harrisonburg Electric Commission,public,Non-Networked,2022-11-10,,,3.0,89 W Bruce St,Harrisonburg,VA,22801
41773,IBEWLOCAL26JATC MANASSAS 1,public,ChargePoint Network,2024-10-10,,,2.0,7016 Infantry Ridge Rd,Manassas,VA,20109
43190,UM PTS GRAND,public,ChargePoint Network,2024-10-10,,,2.0,5 N Paca St,Baltimore,MD,21201
43191,UM PTS PEARL #3,public,ChargePoint Network,2024-10-10,,,2.0,622 W Fayette St,Baltimore,MD,21201
43195,UM PTS PRATT,public,ChargePoint Network,2024-10-10,,,2.0,646 West Pratt Street,Baltimore,MD,21201
43196,UM PTS PLAZA #1,public,ChargePoint Network,2024-10-10,,,2.0,500 West Redwood Street,Baltimore,MD,21201
43290,JBG SMITH STATION 2,public,ChargePoint Network,2024-10-10,,,2.0,2200 Clarendon Blvd,Arlington,VA,22201
43390,EVSP WALGREENS STORE 13012,public,ChargePoint Network,2024-10-10,,,1.0,6400 Hoadly Rd,Manassas,VA,20112
43440,EVSP WALGREENS STORE 5623,public,ChargePoint Network,2024-10-10,,,1.0,3801 Liberty Heights Ave,Baltimore,MD,21215
43444,EVSP WALGREENS STORE 6396,public,ChargePoint Network,2024-10-10,,,1.0,8606 Philadelphia Rd,Rosedale,MD,21237
43836,One Parking,public,Non-Networked,2023-08-10,,,13.0,555 12th St NW,Washington,DC,20004
45166,WEST HALF 2 & 3 1400 JOYCE,public,ChargePoint Network,2024-10-10,,,2.0,1400 S Joyce St,Arlington,VA,22202
45798,Shirlie Slack Mitsubishi,public,Non-Networked,2023-12-13,,,2.0,3475 Jefferson Davis Hwy,Fredericksburg,VA,22408
47547,Hall Nissan,public,Non-Networked,2024-02-12,1.0,,3.0,3417 Western Branch Blvd,Chesapeake,VA,23321
47548,Hall Nissan,private,Non-Networked,2024-02-12,,,1.0,3417 Western Branch Blvd,Chesapeake,VA,23321
47549,Nissan of Chesapeake,public,Non-Networked,2024-02-12,1.0,,,930 N Battlefield Blvd,Chesapeake,VA,23320
47550,Nissan of Chesapeake,private,Non-Networked,2024-02-12,,,1.0,930 N Battlefield Blvd,Chesapeake,VA,23320
47551,Loyalty Nissan,public,Non-Networked,2024-02-12,1.0,,5.0,16301 Priority Way,Chester,VA,23831
47552,Loyalty Nissan,private,Non-Networked,2024-02-12,,,1.0,16301 Priority Way,Chester,VA,23831
47553,Robert Woodall Nissan,public,Non-Networked,2024-02-12,,,1.0,132 Union St Bridge Rd,Danville,VA,24540
47554,Robert Woodall Nissan,private,Non-Networked,2024-02-12,,,1.0,132 Union St Bridge Rd,Danville,VA,24540
47555,Lynchburg Nissan,public,Non-Networked,2024-02-12,,,1.0,18588 Forest Rd,Forest,VA,24551
47556,Lynchburg Nissan,private,Non-Networked,2024-02-12,,,1.0,18588 Forest Rd,Forest,VA,24551
47558,Pohanka Nissan of Fredericksburg,private,Non-Networked,2024-02-12,,,1.0,5200 Jefferson Davis Hwy,Fredericksburg,VA,22408
47559,Harrisonburg Nissan,public,Non-Networked,2024-02-12,,,1.0,2275 E Market St,Harrisonburg,VA,22801
